Название;Цена;Город;Дата размещения;Ссылка на фото;Ссылка на страницу
iPhone X 7 Plus 11 Pro XR 8 XS Max 5s 6s Plus;3 650 ;Москва;5 июля 21:51;https://39.img.avito.st/208x156/7952992739.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_7_plus_11_pro_xr_8_xs_max_5s_6s_plus_1870445387
iPhone 7/7+/8/8+/X/XS/32GB/64GB/128GB/ Оригинал;16 990 ;Иркутская область, Иркутск;5 июля 21:45;https://99.img.avito.st/208x156/8440948799.jpg;https://www.avito.ru/rossiya/irkutsk/telefony/iphone_7788xxs32gb64gb128gb_original_1833935816?slocation=621540
iPhone X XS Рассрочка;22 900 ;Санкт-Петербург;5 июля 20:45;https://98.img.avito.st/208x156/8209687598.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_xs_rassrochka_1790985205?slocation=621540
iPhone X;25 000 ;Санкт-Петербург;5 июля 17:13;https://66.img.avito.st/208x156/8879237466.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_1975137353?slocation=621540
iPhone X;32 000 ;Курганская область, Курган;5 июля 17:21;https://92.img.avito.st/208x156/8879311592.jpg;https://www.avito.ru/rossiya/kurgan/telefony/iphone_x_1964535347?slocation=621540
iPhone X рст на 64 гб;22 000 ;Московская область, Подольск;5 июля 15:10;https://97.img.avito.st/208x156/8878624997.jpg;https://www.avito.ru/rossiya/podolsk/telefony/iphone_x_rst_na_64_gb_1961885978?slocation=621540
iPhone 7, 8, 8 plus, 10, X, Xr, Xs, Xs Max;19 990 ;Калининградская область, Калининград;5 июля 16:34;https://34.img.avito.st/208x156/8831177834.jpg;https://www.avito.ru/rossiya/kaliningrad/telefony/iphone_7_8_8_plus_10_x_xr_xs_xs_max_1514629713?slocation=621540
iPhone X 64Gb Б/у Ростест оригинал;33 990 ;Кировская область, Киров;5 июля 19:25;https://70.img.avito.st/208x156/8786051670.jpg;https://www.avito.ru/rossiya/kirovskaya_oblast_kirov/telefony/iphone_x_64gb_bu_rostest_original_1941685537?slocation=621540
iPhone X iPhone XR;25 000 ;Санкт-Петербург;5 июля 15:00;https://23.img.avito.st/208x156/5754082523.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_iphone_xr_1762117268?slocation=621540
iPhone X;33 990 ;Санкт-Петербург;5 июля 19:23;https://11.img.avito.st/208x156/6107618411.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_1803259636?slocation=621540
Айфон 10;23 000 ;Чеченская Республика, Гудермесский р-н, Комсомольское сельское поселение, с. Комсомольское;5 июля 17:32;https://39.img.avito.st/208x156/8874982739.jpg;https://www.avito.ru/rossiya/gudermes/telefony/ayfon_10_1955635106?slocation=621540
iPhone X, 64 гб;28 000 ;Санкт-Петербург;5 июля 19:35;https://44.img.avito.st/208x156/8879738844.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_64_gb_1970287986?slocation=621540
iPhone 10 256 gb;35 000 ;Смоленская область, Смоленск;5 июля 20:58;https://18.img.avito.st/208x156/8880336118.jpg;https://www.avito.ru/rossiya/smolensk/telefony/iphone_10_256_gb_1925901396?slocation=621540
iPhone X, Space Gray, 64GB;32 000 ;Новгородская область, Великий Новгород;5 июля 18:30;https://20.img.avito.st/208x156/8720291520.jpg;https://www.avito.ru/rossiya/velikiy_novgorod/telefony/iphone_x_space_gray_64gb_1925247683?slocation=621540
Айфон x;30 000 ;Волгоградская область, Волгоград;5 июля 12:47;https://71.img.avito.st/208x156/8877838071.jpg;https://www.avito.ru/rossiya/volgograd/telefony/ayfon_x_1976197730?slocation=621540
Айфон 10 64 гига ориг;34 000 ;Республика Дагестан, Махачкала;5 июля 21:30;https://03.img.avito.st/208x156/8720218103.jpg;https://www.avito.ru/rossiya/mahachkala/telefony/ayfon_10_64_giga_orig_1935553310?slocation=621540
iPhone X;28 500 ;Москва;5 июля 14:23;https://76.img.avito.st/208x156/8878125176.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_1961693522?slocation=621540
iPhone X 64;13 000 ;Тюменская область, Сургут;5 июля 18:49;https://41.img.avito.st/208x156/8879765241.jpg;https://www.avito.ru/rossiya/surgut/telefony/iphone_x_64_1956643227?slocation=621540
iPhone X.8.8plus.7.7plus Восстановленные;6 999 ;Краснодарский край, Краснодар;5 июля 19:55;https://87.img.avito.st/208x156/8849820687.jpg;https://www.avito.ru/rossiya/krasnodar/telefony/iphone_x.8.8plus.7.7plus_vosstanovlennye_1960342137?slocation=621540
iPhone X-64g;35 000 ;Чеченская Республика, Грозный;5 июля 18:30;https://24.img.avito.st/208x156/8874658824.jpg;https://www.avito.ru/rossiya/groznyy/telefony/iphone_x-64g_1951352536?slocation=621540
iPhone X;26 300 ;Москва;5 июля 14:55;https://32.img.avito.st/208x156/8878526732.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_1963069018?slocation=621540
iPhone 7 7 Plus X Хs 8 8 Plus 6s Se;4 444 ;Санкт-Петербург;5 июля 19:21;https://22.img.avito.st/208x156/8796455122.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_7_7_plus_x_hs_8_8_plus_6s_se_1861571882?slocation=621540
